10, 5, 6, 3
20, 12, 3, 3
30, 0, 3, 11
50, 4, 60, 1
115, 0, 1, 15
55, 9, 60, 1
49, 4, 1, 20
130, 0, 1, 5
130, 4, 7, 1
136, 4, 1, 5
136, 8, 7, 1
142, 8, 1, 5
142, 12, 7, 1
155, 6, 1, 20
150, 8, 6, 1
150, 4, 1, 5
144, 4, 7, 1
160, 0, 3, 9
163, 0, 3, 15
180, 0, 3, 15
197, 0, 3, 15
226, 0, 3, 10
350, 0, 1, 30

285, 20, 10, 1
285, 16, 10, 1
285, 12, 10, 1
285, 12, 1, 9

300, 12, 1, 9
307, 13, 1, 1
306, 14, 1, 1
305, 15, 1, 1
304, 16, 1, 1
303, 17, 1, 1
302, 18, 1, 1
301, 19, 1, 1
308, 12, 1, 9

315, 12, 1, 9
315, 12, 10, 1
315, 20, 11, 1
325, 13, 1, 8






15,28,10,2
55,27,10,2
95,28,10,2
135,27,10,2
175,28,10,2
215,27,10,2
255,28,10,2
295,27,10,2
335,28,10,2
